occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
"IPB-2000RH-RN006-ST5-FN005","Paragyractis","Paragyractis Lange, 1956","4684285","EXACT","94","DOUBTFUL","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera",,"Paragyractis",
"IPB-2000RH-RN006-ST5-FN008","Syncera","Syncera","2293388","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Stomatellidae","Syncera",
"IPB-2000RH-RN006-ST5-FN009","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2000RH-RN006-ST5-FN010","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2000SR-RN004-ST1-FN001","Melanoides granifera","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000SR-RN004-ST1-FN002","Melanoides punctata","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000SR-RN004-ST1-FN003","Sulcospira sulcospira","Sulcospira sulcospira (Mousson, 1849)","7481068","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Sulcospira","Sulcospira sulcospira"
"IPB-2000SR-RN004-ST1-FN004","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2000SR-RN004-ST1-FN005","Melanoides torulosa","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000SR-RN004-ST1-FN006","Syncera bedaliensis","Syncera","2293388","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Stomatellidae","Syncera",
