parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2003MW-HS012,UNIPA-2003MW-HS012-PM001,2002-09-30/2002-12-10,Deskriptif studi kasus,Menggunakan Mini kaliper | Pita Ukur | Jangka sorong | senter | Parang |Kapas | Kantong Plastik | alat tulism Menulis,4,Individu,Pulau Moor,,,-2.926738,135.702401,WGS84,ID,PAPUA,PAPUA,NABIRE,Napan Waipan,Napan Waipan,terdapat satu jenis Kuskus yang terbagi atas dua betina dan dua jantan
UNIPA-2003MW-HS012,UNIPA-2003MW-HS012-PM002,2002-09-30/2002-12-10,Deskriptif studi kasus,Menggunakan Mini kaliper | Pita Ukur | Jangka sorong | senter | Parang |Kapas | Kantong Plastik | alat tulism Menulis,2,Individu,Pulau Moor,,,-2.926738,135.702401,WGS84,ID,PAPUA,PAPUA,NABIRE,Napan Waipan,Napan Waipan,kuskus bertotol (Spuilocuscus maculatus)hanya terdapat dua individu
