eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
UNIPA-2013RR-HS020-MK001,UNIPA-2013RR-HS020-MK001-EM001,Human Observation,2013-05/2013-06,Plantae,Xylocarpus molucensis,Species,,-1.294528,134.242689,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu | Penulisan nama ilmia salah yang benar adalah Xylocarpus moluccensis
UNIPA-2013RR-HS020-MK002,UNIPA-2013RR-HS020-MK002-EM002,Human Observation,2013-05/2013-06,Plantae,Bruguiera gymnorhiza,Species,,-1.294528,134.242689,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Bruguiera gymnorhiza
UNIPA-2013RR-HS020-MK003,UNIPA-2013RR-HS020-MK003,Human Observation,2013-05/2013-06,Plantae,Lumnitzera racemosa,Species,,-1.294528,134.242689,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Lumnitzera racemosa
UNIPA-2013RR-HS020-MK004,UNIPA-2013RR-HS020-MK004,Human Observation,2013-05/2013-06,Plantae,Ceriops tagal,Species,,-1.294528,134.242689,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Ceriops tagal
UNIPA-2013RR-HS020-MK005,UNIPA-2013RR-HS020-MK005,Human Observation,2013-05/2013-06,Plantae,Rhizophora apiculata,Species,,-1.294528,134.242689,WGS84,ID,?,,,Present,Didalam skripsi tidak disebutkan jumlah individu Rhizophora apiculata
