eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA026,humanobservation,2009-05,animalia,Dischistodus fasciatus,species,,5.8837222,95.259,WGS84,ID,,0.14,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA027,humanobservation,2009-05,animalia,Forcipiger flavissimus,species,,5.8837222,95.259,WGS84,ID,,0.175,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA028,humanobservation,2009-05,animalia,Forcipiger longirostris,species,,5.8837222,95.259,WGS84,ID,,0.215,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA029,humanobservation,2009-05,animalia,Gonathanodon speciosus,species,,5.8837222,95.259,WGS84,ID,,0.2,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA030,humanobservation,2009-05,animalia,Hemytaurichthys zoster,species,,5.8837222,95.259,WGS84,ID,,0.13,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA031,humanobservation,2009-05,animalia,Heniochus acuminatus,species,,5.8837222,95.259,WGS84,ID,,0.06,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA032,humanobservation,2009-05,animalia,Hoplolatilus fronticinctus,species,,5.8837222,95.259,WGS84,ID,,0.285,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA033,humanobservation,2009-05,animalia,Hoplolatilus cuniculu,species,,5.8837222,95.259,WGS84,ID,,0.185,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA034,humanobservation,2009-05,animalia,Hyporhamphus sp,genus,,5.8837222,95.259,WGS84,ID,,0.07,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA035,humanobservation,2009-05,animalia,Labropsis sp,genus,,5.8837222,95.259,WGS84,ID,,0.035,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA036,humanobservation,2009-05,animalia,Paracanthurus hepatus,species,,5.8837222,95.259,WGS84,ID,,0.045,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA037,humanobservation,2009-05,animalia,Pomacanthus imperator,species,,5.8837222,95.259,WGS84,ID,,0.045,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA038,humanobservation,2009-05,animalia,Pomacentrus spilotoceps,species,,5.8837222,95.259,WGS84,ID,,0.075,individu/m2,present,Allen et  al (2003),
