parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2014YY-AM016,UNIPA-2014YY-AM015-M001,2013-011,Metode deskriptifdan teknik observasi,pengamatan lansung di lapangan,6,Individu,moay,,,3.4396876139,4148235,WGS84,ID,PAPUA,PAPUA,JAYAWIJAYA,Sungai moay,SUNGAI BALIEM,tidak di sebutkan tanggal penelitian | 2013-011 selama satu bulan
UNIPA-2014YY-AM016,UNIPA-2014YY-AM015-H002,2013-011,Metode deskriptifdan teknik observasi,pengamatan lansung di lapangan,6,Individu,holima,,,3.4396876139,4148235,WGS84,ID,PAPUA,PAPUA,JAYAWIJAYA,sungai holima,SUNGAI BALIEM,
UNIPA-2014YY-AM016,UNIPA-2014YY-AM015-P003,2013-011,Metode deskriptifdan teknik observasi,pengamatan lansung di lapangan,6,Individu,pikhe,,,3.4396876139,4148235,WGS84,ID,PAPUA,PAPUA,JAYAWIJAYA,sungai pikhe,SUNGAI BALIEM,
