eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2012ND-AN030-TR001,UGM-2012ND-AN030-TR001-MA001,Human observation,2010-09|2011-05,Plantae,Enhalus acoroides,Spesies,,-6.56084,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR001,UGM-2012ND-AN030-TR001-MA002,Human observation,2010-09|2011-05,Plantae,Halodule uninervis,Spesies,,-6.56084,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR001,UGM-2012ND-AN030-TR001-MA003,Human observation,2010-09|2011-05,Plantae,Syringodium isoetifolium,Spesies,,-6.56084,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR001,UGM-2012ND-AN030-TR001-MA004,Human observation,2010-09|2011-05,Plantae,Thalassia hemprichii,Spesies,,-6.56084,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR001,UGM-2012ND-AN030-TR001-MA005,Human observation,2010-09|2011-05,Plantae,Thalassodendron ciliatum,Spesies,,-6.56084,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR002,UGM-2012ND-AN030-TR002-MA001,Human observation,2010-09|2011-05,Plantae,Halodule uninervis,Spesies,,-6.560861,110.6485138,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA001,Human observation,2010-09|2011-05,Plantae,Cymodocea rotundata,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA002,Human observation,2010-09|2011-05,Plantae,Cymodocea serrulata,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA003,Human observation,2010-09|2011-05,Plantae,Enhalus acoroides,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA004,Human observation,2010-09|2011-05,Plantae,Halodule uninervis,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA005,Human observation,2010-09|2011-05,Plantae,Syringodium isoetifolium,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA006,Human observation,2010-09|2011-05,Plantae,Thalassia hemprichii,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR003,UGM-2012ND-AN030-TR003-MA007,Human observation,2010-09|2011-05,Plantae,Thalassodendron ciliatum,Spesies,,-6.5456472,110.6589083,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA001,Human observation,2010-09|2011-05,Plantae,Enhalus acoroides,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA002,Human observation,2010-09|2011-05,Plantae,Halodule uninervis,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA003,Human observation,2010-09|2011-05,Plantae,Syringodium isoetifolium,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA004,Human observation,2010-09|2011-05,Plantae,Thalassodendron ciliatum,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA005,Human observation,2010-09|2011-05,Plantae,Halodule uninervis,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2012ND-AN030-TR004,UGM-2012ND-AN030-TR004-MA006,Human observation,2010-09|2011-05,Plantae,Cymodocea rotundata,Spesies,,-6.577105,110.631027,WGS 84,ID,,,,PRESENT,Kunci Identifikasi Lamun di Indonesia (dimodifikasi dari Den Hartog 1970 dan Phillips dan Menez 1988)| A Guide to Tropical Seagrasses of the Indo-West Pacifik oleh Waycott et al. (2004),
UGM-2015PS-AN031-TR001,UGM-2015PS-AN031-TR001-VE001,Human observation,2012-04|07,Vertebrate,Phrynoidis aspera,Spesies,,-0.622338,114.505480,WGS 84,ID,,,,PRESENT,"The Systematics and
 Zoogeography of The Amphibia of Borneo (Inger, 1966)| The Amphibian Fauna of
Peninsular Malaysia (Berry, 1975)| Checklist of the Frogs of Borneo (Inger &
Tan, 1996)| Frogs of Borneo (Inger & Stuebing, 2005)| The Systematics and
Zoogeography of the Amphibia of Borneo (Inger, 2005)| The Amphibian Tree
of Life (Frost, 2006).",
