eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA001,Human Observation,2013-04-16/20,Animalia,Acropora indonesia,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,2.13,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA002,Human Observation,2013-04-16/20,Animalia,Acropora insignis,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,1.11,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA003,Human Observation,2013-04-16/20,Animalia,Acropora palifera,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,3.67,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA004,Human Observation,2013-04-16/20,Animalia,Montipora hirsuta,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,2.11,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA005,Human Observation,2013-04-16/20,Animalia,Pocillopora damicronis,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,5.83,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA006,Human Observation,2013-04-16/20,Animalia,Seriatopora hystrix,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,3.51,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA007,Human Observation,2013-04-16/20,Animalia,Porites tuberculosa,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,2.34,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA008,Human Observation,2013-04-16/20,Animalia,Porites lutea,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,2.28,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA009,Human Observation,2013-04-16/20,Animalia,Porites sp.,Genus,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,0.33,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
UGM-2014AR-AN019-TR001,UGM-2014AR-AN019-TR001-MA010,Human Observation,2013-04-16/20,Animalia,Echinopora lamellosa,Species,,-0.406761|0.406594444,123.144727|-123.14435833,WGS 84,ID,,3.82,Covering (m),Present,“Coral of The World” written by J.E.N Veron (2000),
