parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
IPB-2015AS-MF017,IPB-2015AS-MF017-JH001,2015-06/2015-08 | 2015-12,Point count | McKinnon list,Binocular | 3 hours,300,metre,JH,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,JH is jalan hutan
IPB-2015AS-MF017,IPB-2015AS-MF017-TR002,2015-06/2015-08 | 2015-12,Point count | McKinnon list,Binocular | 3 hours,500,metre,TR,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,TR is tepian rumah
IPB-2015AS-MF017,IPB-2015AS-MF017-TS003,2015-06/2015-08 | 2015-12,Point count | McKinnon list,Binocular | 3 hours,300,metre,TS,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,TS is tepian sungai
IPB-2015AS-MF017,IPB-2015AS-MF017-DI004,2015-06/2015-08 | 2015-12,Point count | McKinnon list,Binocular | 3 hours,150,metre,DI,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,DI is daerah interior
IPB-2015AS-MF017,IPB-2015AS-MF017-VH001,2015-06/2015-08 | 2015-12,Plot,Measuring tape,10x50,Metre,VH,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,VH is vegetasi jalan hutan
IPB-2015AS-MF017,IPB-2015AS-MF017-VR002,2015-06/2015-08 | 2015-12,Plot,Measuring tape,10x50,Metre,VR,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,VR is vegetasi tepian rumah
IPB-2015AS-MF017,IPB-2015AS-MF017-VS003,2015-06/2015-08 | 2015-12,Plot,Measuring tape,10x50,Metre,VS,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,VS is vegetasi sungai
IPB-2015AS-MF017,IPB-2015AS-MF017-VI004,2015-06/2015-08 | 2015-12,Plot,Measuring tape,10x50,Metre,VI,,,,,,ID,Java,West Java,Bogor,Dramaga,Hutan Penelitian Dramaga,VI is vegetasi daerah interior
IPB-2016AM-MF018,IPB-2016AM-MF018-TD001,2016-03,Point count | McKinnon list,Binocular | 6 hours,300,Metre,TD,,,,,,ID,Java,West Java,Bogor,Bogor Selatan,TPU Dreded,TD is Tempat Pemakaman Umum Dreded
IPB-2016AM-MF018,IPB-2016AM-MF018-TB002,2016-05,Point count | McKinnon list,Binocular | 6 hours,200,Metre,TB,,,,,,ID,Java,West Java,Bogor,Tanah Sereal,TPU Blender,TB is Tempat Pemakaman Umum Blender
IPB-2016AM-MF018,IPB-2016AM-MF018-TG003,2016-05,Point count | McKinnon list,Binocular | 6 hours,500,Metre,TG,,,,,,ID,Java,West Java,Bogor,Bogor Selatan,TPU Gunung gadung,TG is Tempat Pemakaman Umum Gunung Gadung
IPB-2014LK-MF019,IPB-2014LK-MF019-SW001,2013-06-13/2013-06-27,Visual Enconter Survey | Time Search,3 hours,110,ha,SW,,,,,,ID,Wallacea,Gorontalo,Gorontalo | Gorontalo Utara | Boalemo,Tolinggula | Sumalata | Anggrek | Mootilango | Wonosari | Tolangohula,Suaka Margasatwa Nantu,SW is Habitat sawah | 110 ha is total area
IPB-2014LK-MF019,IPB-2014LK-MF019-KB002,2013-06-13/2013-06-27,Visual Enconter Survey | Time Search,3 hours,110,ha,KB,,,,,,ID,Wallacea,Gorontalo,Gorontalo | Gorontalo Utara | Boalemo,Tolinggula | Sumalata | Anggrek | Mootilango | Wonosari | Tolangohula,Suaka Margasatwa Nantu,KB is Habitat kebun | 110 ha is total area
IPB-2014LK-MF019,IPB-2014LK-MF019-RG003,2013-06-13/2013-06-27,Visual Enconter Survey | Time Search,3 hours,110,ha,RG,,,,,,ID,Wallacea,Gorontalo,Gorontalo | Gorontalo Utara | Boalemo,Tolinggula | Sumalata | Anggrek | Mootilango | Wonosari | Tolangohula,Suaka Margasatwa Nantu,RG is Habitat hutan rendah gangguan | 110 ha is total area
IPB-2014LK-MF019,IPB-2014LK-MF019-TG004,2013-06-13/2013-06-27,Visual Enconter Survey | Time Search,3 hours,110,ha,TG,,,,,,ID,Wallacea,Gorontalo,Gorontalo | Gorontalo Utara | Boalemo,Tolinggula | Sumalata | Anggrek | Mootilango | Wonosari | Tolangohula,Suaka Margasatwa Nantu,TG is Habitat hutan tanpa gangguan | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-BW001,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,BW,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,BW is hutan di Batu Wanggubu | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-SW002,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,SW,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,SW is sawah di Mohiyolo | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-SG003,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,SG,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,SG is sungai di Mohiyolo | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-HB004,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,HB,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,HB is hutan di Bontula | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-GB005,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,GB,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,GB is hutan di kaki Gunung Boliyohuto | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-BU006,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,BU,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,BU is kebun di Bontula | 110 ha is total area
IPB-2014AN-MF020,IPB-2014AN-MF020-KB007,2013-06-13/2013-06-27,Visual Enconter Survey | Trap,4 hours,110,ha,KB,,,,,,ID,Wallacea,Gorontalo,Gorontalo  | Wonosari,Wonosari | Tolangohula,Suaka Margasatwa Nantu,KB is kebun di Bontula | 110 ha is total area
IPB-2014FP-MF021,IPB-2014FP-MF021-CH001,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,CH,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,CH is curug hanjuang
IPB-2014FP-MF021,IPB-2014FP-MF021-HK002,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,HK,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,HK is hulu sungai kali jaya
IPB-2014FP-MF021,IPB-2014FP-MF021-HH003,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,HH,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,HH is hutan alam gunung hanjuang
IPB-2014FP-MF021,IPB-2014FP-MF021-HB004,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,HB,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,HB is hutan alam gunung blindis
IPB-2014FP-MF021,IPB-2014FP-MF021-TB005,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,TB,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,TB is tegakan samping gudang batu bara
IPB-2014FP-MF021,IPB-2014FP-MF021-KG006,2013-07,Visual Enconter Survey | Time Search,3 hours,110,ha,KG,,,,,,ID,Java,West Java,Cirebon,Palimanan,PT Indocement Tunggal Prakarsa Tbk,KG is kolam goa dalam
IPB-2009RW-MF022,IPB-2009RW-MF022-SP001,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,SP,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,SP is sungai pungut
IPB-2009RW-MF022,IPB-2009RW-MF022-SG002,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,SG,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,SG is sungai pungut 2
IPB-2009RW-MF022,IPB-2009RW-MF022-PG003,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,PG,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,PG is Sungai penggasan
IPB-2009RW-MF022,IPB-2009RW-MF022-ST004,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,ST,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,ST is ST 10
IPB-2009RW-MF022,IPB-2009RW-MF022-SI005,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,SI,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,SI is S19-15
IPB-2009RW-MF022,IPB-2009RW-MF022-SS006,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,SS,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,SS is sungai simarara
IPB-2009RW-MF022,IPB-2009RW-MF022-KL007,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,KL,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,KL is kolam
IPB-2009RW-MF022,IPB-2009RW-MF022-EB008,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,EB,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,EB is T14
IPB-2009RW-MF022,IPB-2009RW-MF022-SE009,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,SE,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,SE is T9
IPB-2009RW-MF022,IPB-2009RW-MF022-EN010,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,EN,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,EN is T6
IPB-2009RW-MF022,IPB-2009RW-MF022-TE011,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,TE,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,TE is 7.16
IPB-2009RW-MF022,IPB-2009RW-MF022-CS012,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,CS,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,CS is camp scp
IPB-2009RW-MF022,IPB-2009RW-MF022-TS013,2007-04/2007-05,h,8 hours,110,ha,TS,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,TS is T7 simakobu
IPB-2009RW-MF022,IPB-2009RW-MF022-DS014,2007-04/2007-05,Visual Enconter Survey | Time Search | Transek,8 hours,110,ha,DS,,,,,,ID,Sumatra,West Sumatra,Kepulauan Mentawai,Siberut Barat,Siberut Conservation Program Pulau Siberut,DS is T21
IPB-2011-AT-MF023,IPB-2011AT-MF023-TS001,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,TS,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,TS is terestrial 1
IPB-2011-AT-MF023,IPB-2011AT-MF023-TD002,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,TD,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,TD is terestrial 2
IPB-2011-AT-MF023,IPB-2011AT-MF023-TT003,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,TT,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,TT is terestrial 3
IPB-2011-AT-MF023,IPB-2011AT-MF023-TE004,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,TE,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,TE is terestrial 4
IPB-2011-AT-MF023,IPB-2011AT-MF023-AS005,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,AS,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,AS is akuatik 1
IPB-2011-AT-MF023,IPB-2011AT-MF023-AS006,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,AD,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,AD is akuatik 2
IPB-2011-AT-MF023,IPB-2011AT-MF023-AS007,2010-07-29/2010-08-28,Visual Enconter Survey | Time Search | Transek,6 hours,400,metre,AT,,,,,,ID,Borneo,East Borneo,Berau,Kelai,Kawasan Lindung Sungai Lesan,AT is akuatik 3
IPB-2014MR-MF024,IPB-2014MR-MF024-SL001,2011-08-01/2011-09-30,Visual Enconter Survey | Time Search | Transek,4 hours,200,metre,SL,,,,,,ID,Borneo,Central Borneo,Murung Raya,Permata Intan | Sungai Babuat | Murung | Laung Tuhup | Barito Thup Raya | Tanah Siang |Tanah Siang Selatan | Sumber Barito | Seribu Riang | Uut Murung,Sungai Busang Barito Hulu,SL is sungai luan
