parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2013DS-AM014,UNIPA-2013DS-AM014-PK001,2012-06|2012-08,Pengamatan visual,Pengamatan visual | menggunakan GPS,6,Individu,Perairan katoraf,,,1.919964,136.348064,WGS84,ID,PAPUA,PAPUA,Kabupaten kepulauan yapen,Perairan ambai,Perairan katoraf,Perairan Katoraf berada di perairan pesisir pulau ambai distrik kepulauan seribu | Tidak di sebutkan tanggal penelitian
UNIPA-2013DS-AM014,UNIPA-2013DS-AM014-PM002,2012-06|2012-08,Pengamatan visual,Pengamatan visual | menggunakan GPS,12,Individu,perairan maipi,,,1.919964,136.348064,WGS84,ID,PAPUA,PAPUA,Kabupaten kepulauan yapen,Perairan ambai,perairan maipi,Perairan Maipi berada di perairan pesisir pulau ambai distrik kepulauan seribu | Tidak di sebutkan tanggal penelitian
UNIPA-2013DS-AM014,UNIPA-2013DS-AM014-PK003,2012-06|2012-08,Pengamatan visual,Pengamatan visual | menggunakan GPS,17,Individu,Perairan kamamborif,,,1.919964,136.348064,WGS84,ID,PAPUA,PAPUA,Kabupaten kepulauan yapen,Perairan ambai,perairan kamamborif,Perairan Kamamborif berada di perairan pesisir pulau ambai distrik kepulauan seribu | tidak di sebutkan tanggal penelitian
