parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2005DR-HS014,UNIPA-2005DR-HS014-MN001,2005-01-30/2005-02-28,Metode Deskriptif,Camera | Kaliper | Arloji| senter | Alat tulis | termohigrometer | Karung | Timbangan | Pita ukur | Buku Deskripsi Biawak,3,Individu,Pulau Mansinam,,,-0.90142,134.102245,WGS84,ID,PAPUA,Papua Barat,Manokwari,Manokwari Timur,Mansinam,terdapat tiga jenis Biawak terdiri dari dua betina dan satu jantan
UNIPA-2005DR-HS014,UNIPA-2005DR-HS014-MN002,2005-01-30/2005-02-28,Metode Deskriptif,Camera | Kaliper | Arloji| senter | Alat tulis | termohigrometer | Karung | Timbangan | Pita ukur | Buku Deskripsi Biawak,1,Individu,Pulau Mansinam,,,-0.90142,134.102245,WGS84,ID,PAPUA,Papua Barat,Manokwari,Manokwari Timur,Mansinam,terdapat satu jenis Biawak terdiri dari satu jantan
