parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM001,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM002,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM003,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM004,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM005,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM006,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM007,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM008,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM009,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM010,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM011,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
UNIPA-2005MW-HS016,UNIPA-2005MW-HS016-YM012,2003-11-30/2003-12-20,Metode Deskriptif observasi,Spirtus | Kantong plastik | Plakban| tali Rafia | Kerta koran,?,vegetasi,Pulau yamna,,,-2.008132,139.249916,WGS84,ID,PAPUA,Papua,Sarmi,sarmi,Yamna,didalam skripsi tidak disebutkan jumlah individu dari vegetasi
