eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN001,Human Observation,2016-02/2016-03,Animalia,Lampides boeticus,Species,,,,,,3,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN002,Human Observation,2016-02/2016-03,Animalia,Jamides tiglath,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN003,Human Observation,2016-02/2016-03,Animalia,Jamides celeno,Species,,,,,,3,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN004,Human Observation,2016-02/2016-03,Animalia,Neptis cliniodes,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN005,Human Observation,2016-02/2016-03,Animalia,Hypolimnas bolina,Species,,,,,,20,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN006,Human Observation,2016-02/2016-03,Animalia,Lethe confusa,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN007,Human Observation,2016-02/2016-03,Animalia,Junonia almana,Species,,,,,,2,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN008,Human Observation,2016-02/2016-03,Animalia,Atyina nefre,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN009,Human Observation,2016-02/2016-03,Animalia,Euploea eunice,Species,,,,,,5,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN010,Human Observation,2016-02/2016-03,Animalia,Ideopsis vulgaris,Species,,,,,,3,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN011,Human Observation,2016-02/2016-03,Animalia,Euploea climena,Species,,,,,,5,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN012,Human Observation,2016-02/2016-03,Animalia,Danaus chrysippus,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN013,Human Observation,2016-02/2016-03,Animalia,Neptis hylas,Species,,,,,,2,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN014,Human Observation,2016-02/2016-03,Animalia,Euploea mulciber,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN015,Human Observation,2016-02/2016-03,Animalia,Papilio helenus,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN016,Human Observation,2016-02/2016-03,Animalia,Pachliopta aristolochiae,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN017,Human Observation,2016-02/2016-03,Animalia,Papilio memnon,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN018,Human Observation,2016-02/2016-03,Animalia,Graphium sarpedon,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN019,Human Observation,2016-02/2016-03,Animalia,Papilio demoleus,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN020,Human Observation,2016-02/2016-03,Animalia,Graphium agamemnon,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN021,Human Observation,2016-02/2016-03,Animalia,Papilio polytes,Species,,,,,,1,Individual,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN022,Human Observation,2016-02/2016-03,Animalia,Eurema sp.,Genus,,,,,,54,Individuals,,Present,
IPB-2017RP-MF025-AM001,IPB-2017RP-MF025-AM001-TN023,Human Observation,2016-02/2016-03,Animalia,Catopsilia pomona,Species,,,,,,63,Individuals,,Present,
IPB-2017RP-MF025-AG002,IPB-2017RP-MF025-AG002-TN024,Human Observation,2016-02/2016-03,Animalia,Jamides tiglath,Species,,,,,,4,Individuals,,Present,
IPB-2017RP-MF025-AG002,IPB-2017RP-MF025-AG002-TN025,Human Observation,2016-02/2016-03,Animalia,Lampides boeticus,Species,,,,,,4,Individuals,,Present,
