eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE001,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE002,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE003,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE004,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE005,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE006,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-VE007,HumanObservation,2012-08/12,Animalia,Nycticebus javanicus,Species,,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM001,HumanObservation,2012-08/12,Plantae,Acacia decurrens,Species,Jenjeng,-7.2809,107.7507,,ID,49,49,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM002,HumanObservation,2012-08/12,Plantae,Artocarpus heterophyllus,Species,Nangka,-7.2809,107.7507,,ID,8,8,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM003,HumanObservation,2012-08/12,Plantae,Calliandra calothyrsus,Species,Kaliandra merah,-7.2809,107.7507,,ID,15,15,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM004,HumanObservation,2012-08/12,Plantae,Casuarina junghuhniana,Species,Kayu angin,-7.2809,107.7507,,ID,11,11,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM005,HumanObservation,2012-08/12,Plantae,Cinnamomum burmanni,Species,Kayu manis,-7.2809,107.7507,,ID,2,2,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM006,HumanObservation,2012-08/12,Plantae,Cordyline fructicosa,Species,Hanjuang,-7.2809,107.7507,,ID,2,2,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM007,HumanObservation,2012-08/12,Plantae,Eucalyptus,Genus,Kayu putih,-7.2809,107.7507,,ID,119,119,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM008,HumanObservation,2012-08/12,Plantae,Garcinia dulcis,Species,Baros,-7.2809,107.7507,,ID,4,4,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM009,HumanObservation,2012-08/12,Plantae,Gigantochloa,Genus,Bambu,-7.2809,107.7507,,ID,11,11,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM010,HumanObservation,2012-08/12,Plantae,Grevillea robusta,Species,Salamandar,-7.2809,107.7507,,ID,12,12,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM011,HumanObservation,2012-08/12,Plantae,Maesopsis eminii,Species,Aprika,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM012,HumanObservation,2012-08/12,Plantae,Mangifera indica,Species,Mangga,-7.2809,107.7507,,ID,1,1,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM013,HumanObservation,2012-08/12,Plantae,Persea americana,Species,Alpukat,-7.2809,107.7507,,ID,18,18,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM014,HumanObservation,2012-08/12,Plantae,Schima walichii,Species,Puspa,-7.2809,107.7507,,ID,4,4,individuals,,,
UI-2014PP-TL040-ST01,UI-2014PP-TL040-ST01-EM015,HumanObservation,2012-08/12,Plantae,Toona sinensis,Species,Suren,-7.2809,107.7507,,ID,16,16,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM001,HumanObservation,2013-06,Plantae,Dipterocarpus humeratus,Species,,-5.6598611,104.4058333,,ID,3,3,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM002,HumanObservation,2013-06,Plantae,Dipterocarpus kunstleri,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM003,HumanObservation,2013-06,Plantae,Hopea sangal,Species,,-5.6598611,104.4058333,,ID,2,2,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM004,HumanObservation,2013-06,Plantae,Anisoptera costata,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM005,HumanObservation,2013-06,Plantae,Dipterocarpus hasseltii,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM006,HumanObservation,2013-06,Plantae,Dipterocarpus littoralis,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM007,HumanObservation,2013-06,Plantae,Shorea ovalis,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM008,HumanObservation,2013-06,Plantae,Aglaia argentea,Species,,-5.6598611,104.4058333,,ID,2,2,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM009,HumanObservation,2013-06,Plantae,Alangium javanicum,Species,,-5.6598611,104.4058333,,ID,2,2,individuals,,,
UI-2014RA-TL041-HA01,UI-2014RA-TL041-HA01-EM010,HumanObservation,2013-06,Plantae,Alseodaphne bancana,Species,,-5.6598611,104.4058333,,ID,1,1,individuals,,,
