eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN001,Human Observation,2016-04/2016-07,Animalia,Graphium agamemnon,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN002,Human Observation,2016-04/2016-07,Animalia,Graphium sarpedon,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN003,Human Observation,2016-04/2016-07,Animalia,Losaria coon,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN004,Human Observation,2016-04/2016-07,Animalia,Pachliopta aristolochiae,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN005,Human Observation,2016-04/2016-07,Animalia,Papilio karna karna,Species,,,,,ID,2,Individuals,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN006,Human Observation,2016-04/2016-07,Animalia,Papilio memnon,Species,,,,,ID,4,Individuals,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN007,Human Observation,2016-04/2016-07,Animalia,Papilio demolion,Species,,,,,ID,4,Individuals,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN008,Human Observation,2016-04/2016-07,Animalia,Chersonesia rahlia,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN009,Human Observation,2016-04/2016-07,Animalia,Danaus genutia,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN010,Human Observation,2016-04/2016-07,Animalia,Danaus melanippus,Species,,,,,ID,5,Individuals,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN011,Human Observation,2016-04/2016-07,Animalia,Euploea eunice,Species,,,,,ID,1,Individual,,,
IPB-2017AS-MF030-TS001,IPB-2017AS-MF030-TS001-TN012,Human Observation,2016-04/2016-07,Animalia,Euploea midamus,Species,,,,,ID,2,Individuals,,,
