eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2015NA-MF013-HS002,IPB-2015NA-MF013-HS002-VE016,Human Observation,2014-05/2014-06,Animalia,Hylarana macrops,Species,,,,,ID,86,Individuals,,Present,Species endemic
IPB-2015NA-MF013-HS002,IPB-2015NA-MF013-HS002-VE017,Human Observation,2014-05/2014-06,Animalia,Rhacoporus georgii,Species,,,,,ID,57,Individuals,,Present,Species endemic
IPB-2015NA-MF013-HS002,IPB-2015NA-MF013-HS002-VE018,Human Observation,2014-05/2014-06,Animalia,Ingerophrynus celebensis,Species,,,,,ID,62,Individuals,,Present,Species endemic
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE019,Human Observation,2014-05/2014-06,Animalia,Duttaphyrynus melanostictus,Species,Kodok buduk,,,,ID,32,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE020,Human Observation,2014-05/2014-06,Animalia,Ingerophyrnus biporcatus,Species,Kodok puru hutan,,,,ID,30,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE021,Human Observation,2014-05/2014-06,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,1,Individual,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE022,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,2,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE023,Human Observation,2014-05/2014-06,Animalia,Limnonectes macrodon,Species,Kodok batu,,,,ID,2,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE024,Human Observation,2014-05/2014-06,Animalia,Amnirana nicobariensis,Species,Kongkang jangkrik,,,,ID,6,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE025,Human Observation,2014-05/2014-06,Animalia,Chalcorana chalconota,Species,Kongkang kolam,,,,ID,24,Individuals,,Present,
IPB-2017FK-MF014-HD001,IPB-2017FK-MF014-HD001-VE026,Human Observation,2014-05/2014-06,Animalia,Hylarana erythraea,Species,Kongkang gading,,,,ID,8,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE026,Human Observation,2014-05/2014-06,Animalia,Duttaphyrynus melanostictus,Species,Kodok buduk,,,,ID,1,Individual,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE027,Human Observation,2014-05/2014-06,Animalia,Ingerophrynus biporcatus,Species,Kodok puru hutan,,,,ID,4,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE028,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,28,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE029,Human Observation,2014-05/2014-06,Animalia,Occidozyga sumatrana,Species,Bancet rawa,,,,ID,81,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE030,Human Observation,2014-05/2014-06,Animalia,Microhyla achatina,Species,Percil Jawa,,,,ID,33,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE031,Human Observation,2014-05/2014-06,Animalia,Amnirana nicobariensis,Species,Kongkang jangkrik,,,,ID,1,Individual,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE032,Human Observation,2014-05/2014-06,Animalia,Chalcorana chalconota,Species,Kongkang kolam,,,,ID,2,Individuals,,Present,
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE033,Human Observation,2014-05/2014-06,Animalia,Pulchrana cf baramica,Genus,Kongkang baram,,,,ID,2,Individuals,,Present,Pulcharana cf baramica (cf = common form)
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE034,Human Observation,2014-05/2014-06,Animalia,Polypedates leucomystax,Species,Katak-pohon bergaris,,,,ID,3,Individuals,,Present,No individual count
