eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE001,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Streptopelia chinensis,Species,Tekukur biasa,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE002,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Cacomantis merulinus,Species,Wiwik kelabu,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE003,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Cacomantis sepulcralis,Species,Wiwik uncuing,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE004,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Collocalia linchi,Species,Walet linchi,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE005,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Alcedo meninting,Species,Rajaudang meninting,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE006,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Halcyon cyanoventris,Species,Cekakak Jawa,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE007,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Halcyon chloris,Species,Cekakak sungai,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE008,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Megalaima javensis,Species,Takur tulungtumpuk,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE009,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Hirundo tahitica,Species,Layang-layang batu,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE010,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Hemipus hirundinaceus,Species,Jingjing batu,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE011,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Aegithina tiphia,Species,Cipoh kacat,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE012,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Pycnonotus aurigaster,Species,Cucak kutilang,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE013,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Zoothera citrina,Species,Anis merah,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE014,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Pellorneum capistratum,Species,Pelanduk topi-hitam,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE015,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Orthotomus sutorius,Species,Cinenen pisang,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE016,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Orthotomus sepium,Species,Cinene jawa,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE017,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Rhipidura javanica,Species,Kipasan belang,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE018,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Sitta frontalis,Species,Munguk beledu,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE019,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Dicaeum trochileum,Species,Cabai Jawa,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE020,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Nectarinia jugularis,Species,Burungmadu sriganti,,,,,,,,Present,
IPB-2015AS-MF017-JH001,IPB-2015AS-MF017-JH001-VE021,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Zosterops palpebrosus,Species,Kacamata biasa,,,,,,,,Present,
IPB-2015AS-MF017-TR002,IPB-2015AS-MF017-TR002-VE022,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Amaurornis phoenicurus,Species,Kareo padi,,,,,,,,Present,
IPB-2015AS-MF017-TR002,IPB-2015AS-MF017-TR002-VE023,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Streptopelia chinensis,Species,Tekukur biasa,,,,,,,,Present,
IPB-2015AS-MF017-TR002,IPB-2015AS-MF017-TR002-VE024,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Cacomantis merulinus,Species,Wiwik kelabu,,,,,,,,Present,
IPB-2015AS-MF017-TR002,IPB-2015AS-MF017-TR002-VE025,Human Observation,2015-06/2015-08 | 2015-12,Animalia,Cacomantis sepulcralis,Species,Wiwik uncuing,,,,,,,,Present,
