parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
UGM-2017AS-AN028,UGM-2017AS-AN028-TR001,2016,Purposive random sampling,Sampling macroinvertebrate using kick method and sweep method|Identification using  Kaisar Base Microscope 20X-200X and digital microscope super eye A005+ up to 500X,200,m,,,,-7.9166666,110.180833,WGS84,ID,JAVA,D.I.Yogyakarta,Kulon Progo,Kokap,Sangon River,Upstream
UGM-2017AS-AN028,UGM-2017AS-AN028-TR002,2016,Purposive random sampling,Sampling macroinvertebrate using kick method and sweep method|Identification using  Kaisar Base Microscope 20X-200X and digital microscope super eye A005+ up to 500X,200,m,,,,-7.9152777,110.105277,WGS84,ID,JAVA,D.I.Yogyakarta,Kulon Progo,Kokap,Sangon River,Middlestream
UGM-2017AS-AN028,UGM-2017AS-AN028-TR003,2016,Purposive random sampling,Sampling macroinvertebrate using kick method and sweep method|Identification using  Kaisar Base Microscope 20X-200X and digital microscope super eye A005+ up to 500X,200,m,,,,-7.8686111,110.11,WGS84,ID,JAVA,D.I.Yogyakarta,Kulon Progo,Kokap,Sangon River,Downstream
UGM-2016IR-AN029,UGM-2016IR-AN029-TR001,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,75,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
UGM-2016IR-AN029,UGM-2016IR-AN029-TR002,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,98,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
UGM-2016IR-AN029,UGM-2016IR-AN029-TR003,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,186,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
UGM-2016IR-AN029,UGM-2016IR-AN029-TR004,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,195,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
UGM-2016IR-AN029,UGM-2016IR-AN029-TR005,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,217,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
UGM-2016IR-AN029,UGM-2016IR-AN029-TR006,2009-08/12|2010-07/12|2011-07,Malaise trap| Yellow Pan Trap|sweep method,Vertical sampling|specimen preserve into etanol 80%|mounting using rectangle card|identification during April-June 2015 in LIPI,400,m asl,,,,-3.6649998,121.2183236,WGS84,ID,Sulawesi,Sulawesi Tenggara,Kolaka Utara,Wawo,Tinukari,Mekongga Mountain
